Date,value
"September 14, 2021",73.641
"September 15, 2021",73.514
"September 16, 2021",73.571
"September 17, 2021",73.644
"September 18, 2021",73.695
"September 19, 2021",73.695
"September 20, 2021",73.679
"September 21, 2021",73.732
"September 22, 2021",73.826
"September 23, 2021",73.815
"September 24, 2021",73.756
"September 25, 2021",74.047
"September 26, 2021",74.047
"September 27, 2021",73.829
"September 28, 2021",74.194
"September 29, 2021",74.358
"September 30, 2021",74.239
"October 1, 2021",74.169
"October 2, 2021",74.145
"October 3, 2021",74.145
"October 4, 2021",74.53
"October 5, 2021",74.531
"October 6, 2021",74.848
"October 7, 2021",74.85
"October 8, 2021",75.187
"October 9, 2021",75.132
"October 10, 2021",75.132
"October 11, 2021",75.403
"October 12, 2021",75.428
"October 13, 2021",75.297
"October 14, 2021",75.032
"October 15, 2021",74.996
"October 16, 2021",75.035
"October 17, 2021",75.035
"October 18, 2021",75.278
"October 19, 2021",75.071
"October 20, 2021",74.81
"October 21, 2021",74.83
"October 22, 2021",75
"October 23, 2021",74.999
"October 24, 2021",75
"October 25, 2021",75.025
"October 26, 2021",74.962
"October 27, 2021",74.948
"October 28, 2021",74.802
"October 29, 2021",74.964
"October 30, 2021",74.929
"October 31, 2021",74.929
"November 1, 2021",74.85
"November 2, 2021",74.623
"November 3, 2021",74.568
"November 4, 2021",74.568
"November 5, 2021",74.202
"November 6, 2021",74.191
"November 7, 2021",74.191
"November 8, 2021",73.94
"November 9, 2021",74.119
"November 10, 2021",74.262
"November 11, 2021",74.321
"November 12, 2021",74.407
"November 13, 2021",74.345
"November 14, 2021",74.345
"November 15, 2021",74.369
"November 16, 2021",74.471
"November 17, 2021",74.362
"November 18, 2021",74.242
"November 19, 2021",74.294
"November 20, 2021",74.311
"November 21, 2021",74.311
"November 22, 2021",74.407
"November 23, 2021",74.481
"November 24, 2021",74.534
"November 25, 2021",74.505
"November 26, 2021",75.101
"November 27, 2021",75.053
"November 28, 2021",75.053
"November 29, 2021",75.127
"November 30, 2021",75.11
"December 1, 2021",74.88
"December 2, 2021",74.902
"December 3, 2021",75.25
"December 4, 2021",75.242
"December 5, 2021",75.242
"December 6, 2021",75.385
"December 7, 2021",75.465
"December 8, 2021",75.427
"December 9, 2021",75.589
"December 10, 2021",75.664
"December 11, 2021",75.718
"December 12, 2021",75.718
"December 13, 2021",75.8
"December 14, 2021",76.061
"December 15, 2021",76.469
"December 16, 2021",76.214
"December 17, 2021",76.301
"December 18, 2021",76.014
"December 19, 2021",76.014
"December 20, 2021",75.815
"December 21, 2021",75.687
"December 22, 2021",75.48
"December 23, 2021",75.04
"December 24, 2021",75.075
"December 25, 2021",75.395
"December 26, 2021",75.395
"December 27, 2021",74.921
"December 28, 2021",74.678
"December 29, 2021",74.56
"December 30, 2021",74.425
"December 31, 2021",74.523
"January 1, 2022",74.514
"January 2, 2022",74.514
"January 3, 2022",74.444
"January 4, 2022",74.53
"January 5, 2022",74.306
"January 6, 2022",74.385
"January 7, 2022",74.241
"January 8, 2022",74.278
"January 9, 2022",74.278
"January 10, 2022",74.063
"January 11, 2022",73.802
"January 12, 2022",73.796
"January 13, 2022",73.959
